2025-05-18 20:15:55,161 |     INFO |                      root | main_window.py:835 | VehicleCounterGUI instance created
2025-05-18 20:15:55,184 |     INFO |              core.counter | counter.py:312 | Counter reset
2025-05-18 20:15:55,184 |     INFO |                      root | main_window.py:851 | Video processing started successfully
2025-05-18 20:16:05,445 | CRITICAL |                      root | start_debug.py:278 | Unhandled exception:
Traceback (most recent call last):
  File "C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\ui\gui_app.py", line 397, in update_ui
    def update_ui(self):
    
KeyboardInterrupt
2025-05-18 20:17:07,540 |     INFO | ui.components.main_window | main_window.py:1024 | Processing stopped during window close
2025-05-18 20:17:07,565 |     INFO |                      root | start_debug.py:448 | Application exiting with code: 0
2025-05-18 20:17:21,385 |     INFO |                      root | logger.py:115 | Log directory: C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\logs
2025-05-18 20:17:21,386 |     INFO |                      root | start_debug.py:390 | MainWindow imported successfully in 0.30 seconds
2025-05-18 20:17:21,387 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_import): RSS: N/A, VMS: N/A
2025-05-18 20:17:21,387 |     INFO |                      root | start_debug.py:400 | Creating MainWindow instance...
2025-05-18 20:17:21,390 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:17:22,366 |     INFO |      utils.device_manager | device_manager.py:35 | OpenVINO version: 2025.1.0-18503-6fec06580ab-releases/2025/1
2025-05-18 20:17:22,367 |     INFO |      utils.device_manager | device_manager.py:36 | Available devices: ['CPU', 'GPU']
2025-05-18 20:17:22,394 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:17:22,396 |     INFO | ui.components.main_window | main_window.py:131 | Main window initialized
2025-05-18 20:17:22,404 |     INFO |                      root | start_debug.py:325 | Added video_processor_start method to MainWindow
2025-05-18 20:17:22,405 |     INFO |                      root | start_debug.py:408 | MainWindow instance created successfully
2025-05-18 20:17:22,405 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_create): RSS: N/A, VMS: N/A
2025-05-18 20:17:22,433 |     INFO |                      root | start_debug.py:433 | MainWindow displayed
2025-05-18 20:17:22,434 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_show): RSS: N/A, VMS: N/A
2025-05-18 20:17:22,435 |     INFO |                      root | start_debug.py:270 | Debug toolbar added
2025-05-18 20:17:22,435 |     INFO |                      root | start_debug.py:446 | Starting event loop...
2025-05-18 20:17:26,485 |     INFO |      utils.preset_manager | preset_manager.py:166 | Loaded preset from C:/Users/Hasbi Ash Shiddiqi/PycharmProjects/NanoDet/vehicle_counter/config/presets/gasibu.json
2025-05-18 20:17:28,646 |     INFO |                      root | main_window.py:827 | Starting video processing directly
2025-05-18 20:17:28,654 |     INFO |          core.roi_manager | roi_manager.py:54 | ROI Manager initialized
2025-05-18 20:17:36,186 |     INFO |              core.counter | counter.py:42 | Vehicle counter initialized
2025-05-18 20:17:36,187 |     INFO |                      root | main_window.py:835 | VehicleCounterGUI instance created
2025-05-18 20:17:36,214 |     INFO |              core.counter | counter.py:312 | Counter reset
2025-05-18 20:17:36,214 |     INFO |                      root | main_window.py:851 | Video processing started successfully
2025-05-18 20:17:45,377 | CRITICAL |                      root | start_debug.py:278 | Unhandled exception:
Traceback (most recent call last):
